unix_ms,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z,vel_x,vel_y,vel_z,leftHandPos_x,leftHandPos_y,leftHandPos_z,leftHandForward_x,leftHandForward_y,leftHandForward_z,leftHandVelocity_x,leftHandVelocity_y,leftHandVelocity_z,rightHandPos_x,rightHandPos_y,rightHandPos_z,rightHandForward_x,rightHandForward_y,rightHandForward_z,rightHandVelocity_x,rightHandVelocity_y,rightHandVelocity_z
1728509835235,1.820238,1.621838,-0.3916205,-0.9852826,0.169361,0.02314663,-0.0205636,-0.07283092,-0.2550691,1.899574,0.9593643,-0.6249553,-0.0335617,-0.814401,-0.5793315,-0.1162291,0.1059785,-1.046048,1.664208,0.9172326,0.2434586,0.4399557,-0.5962323,-0.6715258,-0.05333126,0.2286807,-0.3777623
1728509835243,1.820238,1.621838,-0.3916205,-0.9852826,0.169361,0.02314663,0,0,0,1.899574,0.9593643,-0.6249553,-0.0335617,-0.814401,-0.5793315,0,0,0,1.664208,0.9172326,0.2434586,0.4399557,-0.5962323,-0.6715258,0,0,0
1728509835249,1.820238,1.621838,-0.3916205,-0.9852826,0.169361,0.02314663,0,0,0,1.899574,0.9593643,-0.6249553,-0.0335617,-0.814401,-0.5793315,0,0,0,1.664208,0.9172326,0.2434586,0.4399557,-0.5962323,-0.6715258,0,0,0
1728509835276,1.820363,1.620023,-0.3950431,-0.9853391,0.1673624,0.0331248,0.009414554,-0.136131,-0.2566963,1.904833,0.9621959,-0.6438143,-0.007453792,-0.7564794,-0.6539754,0.3944188,0.2123728,-1.414427,1.664202,0.924001,0.2351705,0.4184597,-0.5635394,-0.7122607,-0.0004470348,0.5076349,-0.6216109
1728509835285,1.820363,1.620023,-0.3950431,-0.9853391,0.1673624,0.0331248,0,0,0,1.904833,0.9621959,-0.6438143,-0.007453792,-0.7564794,-0.6539754,0,0,0,1.664202,0.924001,0.2351705,0.4184597,-0.5635394,-0.7122607,0,0,0
1728509835291,1.820363,1.620023,-0.3950431,-0.9853391,0.1673624,0.0331248,0,0,0,1.904833,0.9621959,-0.6438143,-0.007453792,-0.7564794,-0.6539754,0,0,0,1.664202,0.924001,0.2351705,0.4184597,-0.5635394,-0.7122607,0,0,0
1728509835318,1.820295,1.618053,-0.3985786,-0.9851948,0.166185,0.04211831,-0.005123019,-0.1477361,-0.2651632,1.914193,0.9696997,-0.6652066,0.00886371,-0.6976438,-0.7163906,0.7020146,0.5627856,-1.604421,1.664472,0.932615,0.227296,0.4135615,-0.5847822,-0.697852,0.02020597,0.6460458,-0.5905867
1728509835325,1.820295,1.618053,-0.3985786,-0.9851948,0.166185,0.04211831,0,0,0,1.914193,0.9696997,-0.6652066,0.00886371,-0.6976438,-0.7163906,0,0,0,1.664472,0.932615,0.227296,0.4135615,-0.5847822,-0.697852,0,0,0
1728509835331,1.820295,1.618053,-0.3985786,-0.9851948,0.166185,0.04211831,0,0,0,1.914193,0.9696997,-0.6652066,0.00886371,-0.6976438,-0.7163906,0,0,0,1.664472,0.932615,0.227296,0.4135615,-0.5847822,-0.697852,0,0,0
1728509835359,1.820045,1.616263,-0.4019921,-0.985241,0.1647094,0.04660058,-0.01873076,-0.1342535,-0.2560169,1.924716,0.9769046,-0.6866948,0.02624351,-0.6383155,-0.7693279,0.7891953,0.5403668,-1.611614,1.664572,0.9408035,0.2187905,0.4102719,-0.570757,-0.7112763,0.007554889,0.6141409,-0.6379142
1728509835367,1.820045,1.616263,-0.4019921,-0.985241,0.1647094,0.04660058,0,0,0,1.924716,0.9769046,-0.6866948,0.02624351,-0.6383155,-0.7693279,0,0,0,1.664572,0.9408035,0.2187905,0.4102719,-0.570757,-0.7112763,0,0,0
1728509835375,1.820045,1.616263,-0.4019921,-0.985241,0.1647094,0.04660058,0,0,0,1.924716,0.9769046,-0.6866948,0.02624351,-0.6383155,-0.7693279,0,0,0,1.664572,0.9408035,0.2187905,0.4102719,-0.570757,-0.7112763,0,0,0
1728509835402,1.819654,1.614154,-0.4051675,-0.9856338,0.1623297,0.04664153,-0.02937019,-0.1581788,-0.2381556,1.933946,0.9860327,-0.6990821,0.05088103,-0.5807078,-0.812521,0.692305,0.6846026,-0.9290457,1.665741,0.9479599,0.2097775,0.4241163,-0.5544365,-0.7160491,0.08766353,0.5367279,-0.6759748
1728509835409,1.819654,1.614154,-0.4051675,-0.9856338,0.1623297,0.04664153,0,0,0,1.933946,0.9860327,-0.6990821,0.05088103,-0.5807078,-0.812521,0,0,0,1.665741,0.9479599,0.2097775,0.4241163,-0.5544365,-0.7160491,0,0,0
1728509835416,1.819654,1.614154,-0.4051675,-0.9856338,0.1623297,0.04664153,0,0,0,1.933946,0.9860327,-0.6990821,0.05088103,-0.5807078,-0.812521,0,0,0,1.665741,0.9479599,0.2097775,0.4241163,-0.5544365,-0.7160491,0,0,0
1728509835423,1.819654,1.614154,-0.4051675,-0.9856338,0.1623297,0.04664153,0,0,0,1.933946,0.9860327,-0.6990821,0.05088103,-0.5807078,-0.812521,0,0,0,1.665741,0.9479599,0.2097775,0.4241163,-0.5544365,-0.7160491,0,0,0
1728509835443,1.81923,1.612951,-0.4081458,-0.9863874,0.1583016,0.04450655,-0.0317663,-0.09019375,-0.2233721,1.941205,0.9937227,-0.7110716,0.06043198,-0.5514838,-0.8319942,0.5443901,0.5767509,-0.899215,1.665851,0.9523277,0.204405,0.4119891,-0.5691136,-0.7116005,0.008252263,0.3275871,-0.4029393
1728509835450,1.81923,1.612951,-0.4081458,-0.9863874,0.1583016,0.04450655,0,0,0,1.941205,0.9937227,-0.7110716,0.06043198,-0.5514838,-0.8319942,0,0,0,1.665851,0.9523277,0.204405,0.4119891,-0.5691136,-0.7116005,0,0,0
1728509835457,1.81923,1.612951,-0.4081458,-0.9863874,0.1583016,0.04450655,0,0,0,1.941205,0.9937227,-0.7110716,0.06043198,-0.5514838,-0.8319942,0,0,0,1.665851,0.9523277,0.204405,0.4119891,-0.5691136,-0.7116005,0,0,0
1728509835484,1.818721,1.612434,-0.4108958,-0.9873702,0.1526999,0.04222882,-0.03819466,-0.03880262,-0.2062462,1.94429,0.9965962,-0.7209957,0.05133602,-0.5560999,-0.8295289,0.2313584,0.215511,-0.7443085,1.665838,0.9546261,0.1992761,0.3756149,-0.565165,-0.7345085,-0.001019239,0.1723766,-0.3846601
1728509835492,1.818721,1.612434,-0.4108958,-0.9873702,0.1526999,0.04222882,0,0,0,1.94429,0.9965962,-0.7209957,0.05133602,-0.5560999,-0.8295289,0,0,0,1.665838,0.9546261,0.1992761,0.3756149,-0.565165,-0.7345085,0,0,0
1728509835498,1.818721,1.612434,-0.4108958,-0.9873702,0.1526999,0.04222882,0,0,0,1.94429,0.9965962,-0.7209957,0.05133602,-0.5560999,-0.8295289,0,0,0,1.665838,0.9546261,0.1992761,0.3756149,-0.565165,-0.7345085,0,0,0
1728509835526,1.817764,1.61264,-0.4134048,-0.987413,0.1530926,0.03973019,-0.07176697,0.01548529,-0.1881771,1.940723,0.9957173,-0.7203155,0.03416683,-0.598697,-0.8002471,-0.2674967,-0.06591082,0.05101562,1.667279,0.9588928,0.1898518,0.3893575,-0.5784451,-0.7168005,0.1081109,0.3200009,-0.7068291
1728509835533,1.817764,1.61264,-0.4134048,-0.987413,0.1530926,0.03973019,0,0,0,1.940723,0.9957173,-0.7203155,0.03416683,-0.598697,-0.8002471,0,0,0,1.667279,0.9588928,0.1898518,0.3893575,-0.5784451,-0.7168005,0,0,0
1728509835540,1.817764,1.61264,-0.4134048,-0.987413,0.1530926,0.03973019,0,0,0,1.940723,0.9957173,-0.7203155,0.03416683,-0.598697,-0.8002471,0,0,0,1.667279,0.9588928,0.1898518,0.3893575,-0.5784451,-0.7168005,0,0,0
1728509835568,1.816266,1.61329,-0.4157453,-0.9872336,0.1544687,0.03885329,-0.1123309,0.04870892,-0.1755349,1.932334,0.9894662,-0.7135519,-0.001295151,-0.6646092,-0.7471904,-0.6291926,-0.4688323,0.5072683,1.660935,0.9631202,0.1916916,0.3855478,-0.575685,-0.721069,-0.4758149,0.317055,0.1379862
1728509835575,1.816266,1.61329,-0.4157453,-0.9872336,0.1544687,0.03885329,0,0,0,1.932334,0.9894662,-0.7135519,-0.001295151,-0.6646092,-0.7471904,0,0,0,1.660935,0.9631202,0.1916916,0.3855478,-0.575685,-0.721069,0,0,0
1728509835581,1.816266,1.61329,-0.4157453,-0.9872336,0.1544687,0.03885329,0,0,0,1.932334,0.9894662,-0.7135519,-0.001295151,-0.6646092,-0.7471904,0,0,0,1.660935,0.9631202,0.1916916,0.3855478,-0.575685,-0.721069,0,0,0
