,TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,unix_ms,rel_unix_ms,trial_ms
85,2024-11-24 12:43:43.840,0.779396943487292,0.2714030179609136,0.878102333663003,1.870220543009762,0.3565913280295037,-0.1448653592495419,0.5433845818681214,1.731964636338561,0.3199218696066731,0.2151205648918189,0.6339706174606403,1.42596387463475,0.5467511366308926,0.1480260682539538,0.0702690584578477,1.00617648313623,0.6009303798030462,-0.3259815903806285,-0.3808139666521397,0.5057723262610202,687.3992673992674,806.6666666666667,800.2197802197802,1305.494505494506,0.0,-0.160522,0.112976,0.809875,-3.312225,10.736694,0.336456,1.0,4.0,1.0,1.0,4.0,65.0,,1732470223840,19500,14996
87,2024-11-24 12:43:44.340,0.779396943487292,0.1420851664393765,0.3966189239189625,1.870220543009762,0.3565913280295037,-0.307849543679736,-0.1418270810667323,1.731964636338561,0.3199218696066731,0.2484701677394168,0.1639746760111865,1.42596387463475,0.5467511366308926,0.1142740004271536,-0.0657768805942341,1.00617648313623,0.6009303798030462,-0.2606943586807091,-0.3188665053063775,0.5057723262610202,733.7362637362637,799.8168498168499,813.1135531135532,406.959706959707,249.8168498168498,-0.176453,0.07251,1.141907,3.820648,-3.132782,-10.228271,1.0,4.0,1.0,1.0,4.0,65.0,,1732470224340,20000,15496
90,2024-11-24 12:43:44.844,0.779396943487292,0.2197569847431014,0.2581281114323046,1.870220543009762,0.3565913280295037,-0.2824554929339131,-0.1753177979810535,1.731964636338561,0.3199218696066731,0.2756485893136968,0.4428886910536994,1.42596387463475,0.5467511366308926,0.116530306811928,-0.1250674520728072,1.00617648313623,0.6009303798030462,-0.2335616259104925,-0.3323019842137421,0.5057723262610202,1034.322344322344,807.4725274725275,814.7252747252747,954.5421245421246,624.945054945055,-0.119324,0.183594,0.981995,6.273041,2.13089,3.985138,1.0,4.0,1.0,1.0,4.0,65.0,,1732470224844,20504,16000
93,2024-11-24 12:43:45.340,0.779396943487292,0.2839366493465567,0.2354629725371098,1.870220543009762,0.3565913280295037,-0.2769158157630693,-0.1209250899128717,1.731964636338561,0.3199218696066731,0.2636721537709648,0.4907968351802142,1.42596387463475,0.5467511366308926,0.0642694311902403,-0.0859964618731216,1.00617648313623,0.6009303798030462,-0.2983370045496438,-0.319179328990329,0.5057723262610202,589.0842490842491,796.5934065934066,832.4542124542124,577.3992673992674,404.1391941391942,-0.203552,0.056091,0.838928,8.8974,1.05423,5.988922,1.0,4.0,1.0,1.0,4.0,65.0,,1732470225340,21000,16496
95,2024-11-24 12:43:45.839,0.779396943487292,0.3468572054340727,0.3368831846146893,1.870220543009762,0.3565913280295037,-0.2398310948806031,0.1927894831389978,1.731964636338561,0.3199218696066731,0.2320611516132627,0.5924780842060994,1.42596387463475,0.5467511366308926,0.1091361309170193,-0.0395499981074469,1.00617648313623,0.6009303798030462,-0.1971251776048411,-0.1718243240443361,0.5057723262610202,753.0769230769231,770.0,797.3992673992674,1225.714285714286,1623.809523809524,-0.130798,0.168274,0.877869,-4.112244,-1.749573,-4.306641,1.0,4.0,1.0,1.0,4.0,65.0,,1732470225839,21499,16995
97,2024-11-24 12:43:46.339,0.779396943487292,0.4395658409841869,0.7247323770083716,1.870220543009762,0.3565913280295037,-0.3029090987512142,0.5405550276113562,1.731964636338561,0.3199218696066731,0.1065386624003522,0.6314538543345346,1.42596387463475,0.5467511366308926,0.1252690624639477,-0.0092994820945601,1.00617648313623,0.6009303798030462,-0.1258196425912758,-0.1537380123891447,0.5057723262610202,1195.091575091575,800.2197802197802,804.6520146520147,987.5824175824176,1626.630036630037,-0.191895,0.066589,1.205017,0.418701,-0.471039,4.299164,1.0,4.0,1.0,1.0,4.0,65.0,,1732470226339,21999,17495
100,2024-11-24 12:43:46.839,0.779396943487292,0.5721619517266703,0.8373625096243832,1.870220543009762,0.3565913280295037,-0.1872075151826548,0.617148164316534,1.731964636338561,0.3199218696066731,0.0901553041087173,0.5673011169097879,1.42596387463475,0.5467511366308926,0.2091324940366173,-0.0517710116670211,1.00617648313623,0.6009303798030462,-0.0074933102490504,-0.1749887601269251,0.5057723262610202,454.1025641025641,801.4285714285714,813.5164835164835,265.9340659340659,0.0,-0.197083,0.152588,1.280884,3.55896,-2.699127,-7.985229,1.0,4.0,1.0,1.0,4.0,65.0,,1732470226839,22499,17995
102,2024-11-24 12:43:47.339,0.779396943487292,-0.4647959213995917,0.7878011552063495,1.870220543009762,0.3565913280295037,0.0332458136845842,0.5591380513008612,1.731964636338561,0.3199218696066731,-0.0774763403257654,0.5495720495719547,1.42596387463475,0.5467511366308926,-0.0659621917750681,-0.1385451672907496,1.00617648313623,0.6009303798030462,-0.1332224412781766,-0.4551998905998497,0.5057723262610202,901.7582417582418,803.040293040293,791.7582417582418,700.2930402930403,1471.904761904762,-0.190063,0.178467,0.979248,6.527252,1.727142,2.235565,1.0,4.0,1.0,1.0,4.0,65.0,,1732470227339,22999,18495
104,2024-11-24 12:43:47.841,0.779396943487292,-0.2836248157215046,0.5600257676328869,1.870220543009762,0.3565913280295037,0.0882618312411823,0.2420973869860119,1.731964636338561,0.3199218696066731,0.3620255913482623,0.1638424103954776,1.42596387463475,0.5467511366308926,-0.0654299297960656,-0.1564923615636902,1.00617648313623,0.6009303798030462,-0.1492989153682608,-0.4883749240061689,0.5057723262610202,1048.424908424908,801.8315018315019,796.1904761904763,456.5201465201465,231.2820512820513,-0.217712,0.066772,0.975769,8.329163,-4.493561,-3.887939,1.0,4.0,1.0,1.0,4.0,65.0,,1732470227841,23501,18997
105,2024-11-24 12:43:48.340,0.779396943487292,-0.2836248157215046,0.4604614397274163,1.870220543009762,0.3565913280295037,0.0882618312411823,0.1313123073825036,1.731964636338561,0.3199218696066731,0.3620255913482623,0.2203486855228643,1.42596387463475,0.5467511366308926,-0.0654299297960656,-0.1084916911261135,1.00617648313623,0.6009303798030462,-0.1492989153682608,-0.387149376701501,0.5057723262610202,605.2014652014652,801.4285714285714,805.054945054945,745.0183150183151,226.0439560439561,-0.117432,0.146606,0.80835,0.949554,-8.605804,-6.534729,1.0,4.0,1.0,1.0,4.0,65.0,,1732470228340,24000,19496
106,2024-11-24 12:43:48.842,0.779396943487292,-0.1601501706329847,0.5435963601580971,1.870220543009762,0.3565913280295037,0.1145650295408834,-0.0100449344242098,1.731964636338561,0.3199218696066731,0.3627887534393299,0.2010652568528657,1.42596387463475,0.5467511366308926,-0.0263151220564689,0.0124949386922049,1.00617648313623,0.6009303798030462,-0.2124129895191514,-0.2699334397036304,0.5057723262610202,593.919413919414,795.7875457875458,803.040293040293,1016.593406593407,1377.216117216117,-0.085815,0.052063,0.816223,5.256195,2.878571,6.130981,1.0,4.0,1.0,1.0,4.0,65.0,,1732470228842,24502,19998
